;scenario;group;pollutant;metric;value
301;ENSEMBLE;pollutants_effluent;.effluent.y_NO;avg_daily_load;4964.553023878034
302;ENSEMBLE;pollutants_effluent;.effluent.y_NO;avg_max_daily_load;8853.479377776794
303;ENSEMBLE;pollutants_effluent;.effluent.y_NO;avg_concentration;2.797502693623299
304;ENSEMBLE;pollutants_effluent;.effluent.y_NO;avg_max_daily_concentration;3.2118824298913045
305;ENSEMBLE;pollutants_effluent;.effluent.y_PO;avg_daily_load;451.79623502035884
306;ENSEMBLE;pollutants_effluent;.effluent.y_PO;avg_max_daily_load;948.3559470645338
307;ENSEMBLE;pollutants_effluent;.effluent.y_PO;avg_concentration;0.22433672810939295
308;ENSEMBLE;pollutants_effluent;.effluent.y_PO;avg_max_daily_concentration;0.2847680349456522
309;ENSEMBLE;pollutants_effluent;.effluent.y_TKN;avg_daily_load;5452.316673649017
310;ENSEMBLE;pollutants_effluent;.effluent.y_TKN;avg_max_daily_load;11377.084543347486
311;ENSEMBLE;pollutants_effluent;.effluent.y_TKN;avg_concentration;2.707059512728813
312;ENSEMBLE;pollutants_effluent;.effluent.y_TKN;avg_max_daily_concentration;3.452811905434783
313;ENSEMBLE;pollutants_effluent;.effluent.y_TN;avg_daily_load;10416.869696789132
314;ENSEMBLE;pollutants_effluent;.effluent.y_TN;avg_max_daily_load;19601.37325084546
315;ENSEMBLE;pollutants_effluent;.effluent.y_TN;avg_concentration;5.504562206092563
316;ENSEMBLE;pollutants_effluent;.effluent.y_TN;avg_max_daily_concentration;6.42201535652174
317;ENSEMBLE;pollutants_effluent;.effluent.y_TP;avg_daily_load;912.0157317839911
318;ENSEMBLE;pollutants_effluent;.effluent.y_TP;avg_max_daily_load;1776.9871845857106
319;ENSEMBLE;pollutants_effluent;.effluent.y_TP;avg_concentration;0.441561359495656
